CHAMADO;ID_JIRA;UF;MUNICIPIO;TIPO_ETABELECIMENTO;CONCORRENTE;STATUS;DATA_INI;DATA_FIM
CON-1437;2438480;PA;Marituba - PA;Prefeitura Municipal;NeoConsig;Ativo;25/03/2025;25/03/2026
CON-1436;2438474;MT;Santa Rita do Trivelato - MT;Prefeitura Municipal;Digital Consig;Ativo;18/03/2025;18/03/1935
CON-1435;2438313;SP;Itapetininga - SP;Prefeitura Municipal;Consignet;Ativo;25/03/2025;25/03/1930
CON-1434;2437695;MS;MUNICIPIO DE BRASILANDIA/MS ;Prefeitura Municipal;Consignet;Ativo;12/03/2025;12/03/1930
CON-1433;2436762;ES;João Neiva - ES;Prefeitura Municipal;Fasitec;Ativo;03/04/2025;03/04/1930
CON-1432;2435604;PE;MUNICIPIO DE SALGUEIRO/PE;Prefeitura Municipal;Consignet;Ativo;31/03/2025;30/03/1930
CON-1431;2435334;RS; Entre-Ijuís - RS;Prefeitura Municipal;Consignet;Ativo;03/04/2025;03/04/1930
CON-1430;2435091;MG;MONTES CLAROS . MG;Prefeitura Municipal;Quantum;Ativo;31/03/2025;29/03/1930
CON-1429;2435082;SC;IPRERIO - INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS MUNICIPAIS DE RIO NEGRINHO/SC;Instituto de Previdência;Consignet;Ativo;31/03/2025;30/03/1930
CON-1428;2434023;PA;Paragominas - PA;Prefeitura Municipal;BRTEC;Ativo;02/04/2025;02/04/1930
CON-1427;2433919;RS;Araricá - RS;Prefeitura Municipal;ASBAN;Ativo;01/04/2025;01/04/1930
CON-1426;2433912;PR;INSTITUTO DE SEGURIDADE SOCIAL DO MUNICIPIO DE  LOBATO - LOBATOPREV;Instituto de Previdência;Consignet;Ativo;04/04/2025;04/04/1930
CON-1425;2433286;RS;Arambaré - RN;Prefeitura Municipal;Consignet;Ativo;19/03/2025;19/03/1930
CON-1424;2433263;RN;Coronel Ezequiel - RN;Prefeitura Municipal;Consignet;Ativo;17/03/2025;17/03/1930
CON-1423;2433251;PR;São Pedro do Paraná- PR;Prefeitura Municipal;Consignet;Ativo;08/04/2025;08/04/1930
CON-1422;2428630;MT;ARIPUANÃ - MT;Câmara Municipal;Digital Consig;Ativo;26/03/2025;26/03/1930
CON-1421;2428567;PI;JOAQUIM PIRES - PI ;Prefeitura Municipal;Digital Consig;Ativo;26/02/2025;26/02/1930
CON-1420;2428031;MT;CAMARA MUNICIPAL DE CONFRESA- MT ;Câmara Municipal;Digital Consig;Ativo;17/03/2025;15/03/1930
CON-1419;2426345;RO;São Felipe D'Oeste - RO;Prefeitura Municipal;Consignet;Inativo;24/02/2025;24/03/2025
CON-1418;2426341;PE;SAAE . SERVIÇO AUTÔNOMO DE  ÁGUA E ESGOTO DO MUNICÍPIO DA ÁGUA PRETA . PE;Autarquia;Fácil;Ativo;24/03/2025;24/03/1930
CON-1417;2426336;PA;Novo Progresso - PA;Câmara Municipal;Digital Consig;Ativo;14/03/2025;14/03/1930
CON-1416;2423824;RJ;Resende - RJ;Instituto de Previdência;Fácil;Ativo;14/03/2025;14/09/2025
CON-1415;2423818;RS;Mostardas - RS;Prefeitura Municipal;Consignet;Ativo;21/03/2025;21/03/1930
CON-1414;2423812;RS;Novo Cabrais - RS;Prefeitura Municipal;Consignet;Ativo;21/03/2025;21/03/1930
CON-1413;2423113;GO;São Luiz do Norte - GO;Prefeitura Municipal;Digital Consig;Ativo;19/03/2025;19/03/1930
CON-1412;2423095;RS;Barracao - RS;Prefeitura Municipal;Consignet;Ativo;19/03/2025;19/03/1930
CON-1411;2420029;RS;São Domingos do Sul - RS;Prefeitura Municipal;Consignet;Ativo;14/03/2025;14/03/1930
CON-1410;2420010;BA;Jacobina - BA;Prefeitura Municipal;Fasitec;Ativo;13/03/2025;31/12/2028
CON-1409;2418547;RN;Previdência Municipal de Lajes - RN;Instituto de Previdência;SP Consig;Ativo;16/11/2023;16/11/2028
CON-1408;2418540;SP;Vinhedo - SP;Prefeitura Municipal;ConsigLog;Ativo;13/03/2025;13/03/2029
CON-1407;2418451;MG;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES PÚBLICOS  DE PIRAPORA (IPSEMP;Instituto de Previdência;Consignet;Ativo;10/03/2025;10/03/1930
CON-1406;2416704;RS;Taquari - RS;Prefeitura Municipal;Consignet;Ativo;14/03/2025;14/03/2026
CON-1405;2415557;RS;Santa Bárbara do Sul - RS;Prefeitura Municipal;Consignet;Ativo;24/03/2025;24/03/2026
CON-1404;2415457;SP;Guarujá - SP;Prefeitura Municipal;ConsigLog;Ativo;14/03/2025;14/03/2026
CON-1403;2414563;RS;Cândido Godói - RS;Prefeitura Municipal;Consignet;Ativo;12/03/2025;12/03/1930
CON-1402;2414470;PE;Instituto de Previdência Social do Município Paulista - PE;Instituto de Previdência;Consignet;Inativo;12/03/2025;12/03/2025
CON-1401;2414427;PA;Belterra - PA;Prefeitura Municipal;Fácil;Ativo;13/03/2025;13/03/1930
CON-1400;2414179;SP;Pereiras - SP;Prefeitura Municipal;Consignet;Ativo;10/03/2025;10/03/2026
CON-1399;2414168;AC;Plácido de Castro - AC;Prefeitura Municipal;Consignet;Ativo;03/12/2024;03/12/2029
CON-1398;2412115;PR;Fênix - PR;Prefeitura Municipal;Consignet;Ativo;18/02/2025;18/02/1930
CON-1397;2409441;AC;Câmara Municipal Feijó - AC;Câmara Municipal;Consignet;Ativo;06/03/2025;06/03/1930
CON-1396;2407557;MS;INSTITUTO DE APOSENTADORIA E PENSÕES DOS SERVIDORES MUNICIPAIS DE TERENOS - IAPESEM - MS;Instituto de Previdência;Consignet;Ativo;04/03/2025;04/03/1930
CON-1395;2407547;AM;Borba - AM;Prefeitura Municipal;Fasitec;Ativo;01/01/2025;01/01/2026
CON-1394;2407530;MG;Euroforte Agrociências LTDA.;Empresa Privada;Total For;Ativo;06/03/2025;04/02/1930
CON-1393;2407525;SP;Empresa Municipal de Construções Populares - EMCOP;Empresa Privada;Quantum;Iniciando Renovação;06/03/2025;28/07/2025
CON-1392;2407509;SC;Balneário Gaivota - SC;Prefeitura Municipal;Infoconsig;Ativo;06/03/2025;01/11/2029
CON-1391;2403401;GO;Luziânia - GO;Câmara Municipal;Fasitec;Ativo;25/02/2025;25/02/1930
CON-1390;2402754;PE;Ouricuri - PE;Prefeitura Municipal;Consignet;Ativo;20/03/2025;20/03/1930
CON-1389;2402730;MA;Ribamar Fiquene - MA ;Prefeitura Municipal;Consignet;Ativo;30/01/2025;30/01/1930
CON-1388;2401422;RS;Almirante Tamandaré do Sul - RS ;Prefeitura Municipal;ASBAN;Ativo;07/02/2025;07/02/1930
CON-1387;2401407;GO;Aparecida do Rio Doce - GO;Prefeitura Municipal;Consignet;Ativo;17/02/2025;17/02/1930
CON-1386;2401402;AL;Cacimbinhas - AL;Prefeitura Municipal;Fasitec;Ativo;26/02/2025;26/02/1930
CON-1385;2400653;MA;São João do Soter - MA;Prefeitura Municipal;Fácil;Ativo;18/02/2025;18/02/1930
CON-1384;2400645;PR;Paranavaí - PR;Prefeitura Municipal;Montreal;Ativo;25/02/2025;06/10/2028
CON-1383;2400643;CE;Umirim - CE;Prefeitura Municipal;Fácil;Ativo;25/02/2025;01/06/2027
CON-1382;2400344;GO;Fundo de Previdência Municipal dos Servidores de Pires do Rio - GO;Instituto de Previdência;Digital Consig;Ativo;25/02/2025;09/03/2027
CON-1381;2400305;RS;Anta Gorda - RS;Prefeitura Municipal;Consignet;Ativo;25/02/2025;06/10/2026
CON-1380;2400281;SE;Siriri - SE;Prefeitura Municipal;Gestão Consig;Iniciando Renovação;25/02/2025;22/07/2025
CON-1379;2399492;MT;Porto Esperidião - MT;Prefeitura Municipal;Consignet;Ativo;19/02/2025;19/02/1930
CON-1378;2398916;PI;Murici dos Portelas - PI;Prefeitura Municipal;NewVersion;Ativo;10/02/2025;10/02/1930
CON-1377;2398903;SC;Ministério Público de Santa Catarina - MPSC;Ministério Público;Consignet;Ativo;08/06/2023;08/06/2028
CON-1376;2398578;PR;Verê - PR;Prefeitura Municipal;Consignet;Ativo;06/02/2025;06/02/1930
CON-1375;2397160;RN;Ipueira - RN;Prefeitura Municipal;Fácil;Ativo;07/02/2025;07/02/1930
CON-1374;2397143;CE;Aracati - CE;Prefeitura Municipal;Safe Consig;Ativo;20/02/2025;21/07/2026
CON-1373;2397135;MS;INSTITUTO DE PREVIDÊNCIA MARACAJU - PREVMMAR - MS;Instituto de Previdência;Consignet;Ativo;20/02/2025;19/12/2029
CON-1372;2397131;GO;Iporá - GO;Prefeitura Municipal;Quantum;Ativo;20/02/2025;08/03/1930
CON-1371;2397123;RO;Primavera de Rondônia - RO;Prefeitura Municipal;Consignet;Ativo;20/02/2025;22/08/2029
CON-1370;2397111;SP;Itatiba - SP;Prefeitura Municipal;ConsigLog;Iniciando Renovação;20/02/2025;21/07/2025
CON-1369;2397100;SP;Mairiporã - SP;Prefeitura Municipal;ConsigLog;Ativo;12/02/2025;12/02/1930
CON-1368;2397010;PA;Marabá - PA;Prefeitura Municipal;Fácil;Ativo;07/01/2025;07/01/1930
CON-1367;2394944;PE;Vertentes - PE;Prefeitura Municipal;Fácil;Ativo;18/02/2025;18/02/1930
CON-1366;2392199;BA;Ministério Público da Bahia - MPBA;Ministério Público;ConsigLog;Ativo;14/02/2025;14/02/1930
CON-1365;2392111;BA;Nova Fátima - BA;Prefeitura Municipal;Fasitec;Ativo;14/02/2025;09/06/2026
CON-1364;2392093;RN;Guamaré - RN;Prefeitura Municipal;ConsigLog;Ativo;07/02/2025;07/02/1930
CON-1363;2389787;CE;Estado do Ceará - CE;Governo de Estado;Safe Consig;Inativo;27/12/2024;11/01/2025
CON-1362;2386722;SP;EMURB - Empresa Municipal De Urbanismo de São José do Rio Preto;Autarquia;Quantum;Iniciando Renovação;28/01/2020;28/06/2025
CON-1361;2386585;CE;Russas - CE;Prefeitura Municipal;Fácil;Ativo;10/02/2025;10/02/1930
CON-1360;2384825;SP;Serviço Autônomo de Água e Esgotos de Jaboticabal/SP ;Autarquia;Consignet;Ativo;27/01/2025;27/01/1930
CON-1359;2384391;RO;Câmara de Candeias do Jamari;Câmara Municipal;Consignet;Ativo;22/01/2025;22/01/1930
CON-1358;2384355;RO;Chupinguaia - RO;Câmara Municipal;Consignet;Ativo;20/01/2025;20/01/1930
CON-1357;2377540;RS;MUNICIPIO DE SAO NICOLAU/RS;Prefeitura Municipal;Consignet;Ativo;15/01/2025;15/01/1930
CON-1356;2374514;AL;Maragogi - AL;Prefeitura Municipal;Fasitec;Iniciando Renovação;17/01/2025;17/07/2025
CON-1355;2374192;GO;Goianésia/GO;Câmara Municipal;Fácil;Ativo;17/01/2025;17/01/1930
CON-1354;2367681;RS;Redentora - RS;Prefeitura Municipal;Consignet;Ativo;14/01/2025;14/01/2029
CON-1353;2364320;AL;Marechal Deodoro - AL ;Prefeitura Municipal;Fasitec;Ativo;13/01/2025;13/01/2029
CON-1352;2364312;AL;Santana do Ipanema - AL;Prefeitura Municipal;Fasitec;Ativo;10/01/2025;10/01/2029
CON-1351;2360633;RS;ESTEIO/RS;Câmara Municipal;ASBAN;Ativo;08/01/2025;10/01/2026
CON-1350;2360609;RS;MUNICIPIO DE CAPITÃO/RS;Prefeitura Municipal;Consignet;Ativo;07/01/2025;07/01/1930
CON-1349;2360596;RS;TOROPI -RS ;Prefeitura Municipal;Consignet;Ativo;10/01/2025;09/01/1930
CON-1348;2360302;PE;INST. PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE GARANHUNS- IPSG;Instituto de Previdência;Fácil;Ativo;01/01/2025;01/01/1930
CON-1347;2360285;MT;SALTO DO CÉU/MT ;Prefeitura Municipal;Consignet;Ativo;06/01/2025;04/01/1930
CON-1346;2356392;GO;Rio Verde (GO) ;Prefeitura Municipal;NeoConsig;Ativo;20/12/2024;06/01/2026
CON-1345;2348615;RS;Unistalda - RS;Prefeitura Municipal;Consignet;Ativo;18/12/2024;18/12/2029
CON-1344;2348605;PR;Alegrete - RS;Prefeitura Municipal;Consignet;Ativo;09/12/2024;09/12/2029
CON-1343;2348586;RN;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES MUNICIPAIS DE SÃO VICENTE - IPSV;Instituto de Previdência;SP Consig;Ativo;12/12/2024;12/12/2029
CON-1342;2348542;PI;Alagoinha do Piaui - PI;Prefeitura Municipal;RF1 Participações;Ativo;18/12/2024;18/12/2029
CON-1341;2342169;RS;CRISSIUMAL;Prefeitura Municipal;Consignet;Ativo;09/12/2024;09/12/2025
CON-1340;2342046;RN;JOÃO CÂMARA-RN;Prefeitura Municipal;Fácil;Ativo;11/12/2024;11/12/2029
CON-1339;2342020;ES;IBITIRAMA - ES;Prefeitura Municipal;Fasitec;Ativo;10/12/2024;07/12/2029
CON-1338;2339787;MA;Graça Aranha - MA;Prefeitura Municipal;Fasitec;Ativo;09/12/2024;09/12/2029
CON-1337;2337749;RS;Rio dos Índios - RS;Prefeitura Municipal;Consignet;Ativo;06/12/2024;06/12/2029
CON-1336;2337740;SC;Presidente Nereu - SC;Prefeitura Municipal;Consignet;Ativo;03/12/2024;03/12/2029
CON-1335;2337734;PR;Cacique Doble - PR;Prefeitura Municipal;Consignet;Ativo;02/12/2024;02/12/2029
CON-1334;2337112;MT;RIBEIRÃO CASCALHEIRA-MT;Prefeitura Municipal;RF1 Participações;Ativo;26/11/2024;23/11/2029
CON-1333;2335694;PE;MUNICIPIO DE FEIRA NOVA/PE;Prefeitura Municipal;Consignet;Ativo;18/02/2025;18/02/1930
CON-1332;2331157;PE;PREFEITURA DE VICÊNCIA - PE;Prefeitura Municipal;Fácil;Ativo;02/12/2024;02/12/2025
CON-1331;2330593;PE;Floresta - PE;Prefeitura Municipal;Fácil;Ativo;08/11/2024;08/11/2029
CON-1330;2329673;PR;PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUN. DE PALMITAL/PR;Instituto de Previdência;Consignet;Ativo;28/11/2024;29/11/2025
CON-1329;2329655;SP;Fundação Municipal de Saúde de Rio Claro - SP;Autarquia;Consignet;Ativo;13/11/2024;13/11/2029
CON-1328;2325263;RN;Caicó - RN;Prefeitura Municipal;Fácil;Ativo;24/11/2024;24/11/2025
CON-1327;2325258;PR;FUNDO DE PREVIDENCIA DO MUNICIPIO DE PLANALTO - PR;Instituto de Previdência;Consignet;Ativo;27/11/2024;27/11/2029
CON-1326;2323702;RN;Pilões - RN;Prefeitura Municipal;SP Consig;Ativo;21/11/2024;21/11/2028
CON-1325;2323695;SP;Serviço de Assistência à Saúde dos Municipiários de Ribeirão Preto - SASSOM ;Autarquia;Unitedtech;Ativo;21/11/2024;21/11/2029
CON-1324;2323692;MA;Balsas - MA;Prefeitura Municipal;Safe Consig;Ativo;25/11/2024;25/11/2025
CON-1322;2321177;BA;Ilhéus - BA;Prefeitura Municipal;ConsigLog;Ativo;13/11/2024;13/11/2025
CON-1321;2320571;SC;MUNICIPIO DE CAMPOS NOVOS - SC;Prefeitura Municipal;Montreal;Ativo;24/10/2024;24/10/2029
CON-1320;2320569;RN;Vera Cruz - RN;Prefeitura Municipal;SP Consig;Ativo;13/11/2024;12/11/2029
CON-1319;2318689;PR;CAMARA MUNICIPAL DE FOZ DO JORDAO/PR;Câmara Municipal;Consignet;Ativo;11/11/2024;09/11/2029
CON-1318;2318551;SP;Jaboticabal - SP;Prefeitura Municipal;Consignet;Ativo;14/11/2024;14/11/2029
CON-1317;2318447;RS;São José do Inhacorá - RS;Prefeitura Municipal;ASBAN;Ativo;30/10/2024;30/10/2029
CON-1316;2318436;PB;Pombal - PB;Prefeitura Municipal;SP Consig;Ativo;25/10/2024;25/10/2028
CON-1315;2318136;AL;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS DE BRANQUINHA - AL;Instituto de Previdência;Fasitec;Ativo;12/11/2024;12/11/2029
CON-1314;2313919;SP;Tietê - SP;Prefeitura Municipal;Montreal;Inativo;16/06/2024;17/11/2024
CON-1313;2313541;GO;Turvelândia - GO;Prefeitura Municipal;Consignet;Ativo;07/01/2025;04/01/1930
CON-1312;2313528;RS;Eunápolis - RS;Prefeitura Municipal;Unitedtech;Ativo;08/11/2024;08/11/2029
CON-1311;2313034;SP;Santa Fé do Sul - SP;Prefeitura Municipal;Consignet;Ativo;25/09/2024;25/09/2029
CON-1310;2312872;PR;Foz do Jordão - PR;Prefeitura Municipal;Consignet;Ativo;23/10/2024;23/10/2029
CON-1309;2310041;RO;Instituto de Previdência Ariquemes/RO;Instituto de Previdência;Consignet;Ativo;04/11/2024;04/11/2029
CON-1308;2310029;RO;Instituto de Previdência Alvorada do Oeste - RO;Instituto de Previdência;Consignet;Ativo;13/11/2024;13/11/2029
CON-1307;2302861;RO;Vale do Anari - RO;Câmara Municipal;Consignet;Ativo;14/08/2024;14/08/2029
CON-1306;2302838;AL;Instituto de Previdência Mar Vermelho - IMPREV - AL;Instituto de Previdência;Fasitec;Ativo;25/10/2024;25/10/2029
CON-1305;2300933;AM;São Gabriel da Cachoeira - AM;Prefeitura Municipal;ConsigLog;Ativo;24/10/2024;24/10/2029
CON-1304;2295199;SP;URBAM - São José dos Campos (SP);Outros;Montreal;Ativo;19/09/2024;19/09/2029
CON-1303;2292748;PR;Reserva do Iguaçu - PR;Prefeitura Municipal;Consignet;Ativo;25/11/2024;25/11/2029
