CHAMADO;UF;MUNICIPIO;TIPO_ETABELECIMENTO;CONCORRENTE;STATUS;DATA_INI;DATA_FIM
CON-1445;AM;Câmara Municipal Ipixuna;Câmara Municipal;Digital Consig;Ativo;2025-03-26;1930-03-26
CON-1444;AL;Água Boa;Prefeitura Municipal;Fasitec;Ativo;2025-04-09;1930-04-09
CON-1443;RS;Derrubadas;Prefeitura Municipal;Consignet;Ativo;2025-04-04;1930-04-04
CON-1442;RS;INSTITUTO DE PREVIDENCIA DOS SERVIDORES  PUBLICOS DO MUNICIPIO DE NOVA HARTZ;Instituto de Previdência;Consignet;Ativo;2025-04-09;1930-04-09
CON-1441;RS;Santa do Livramento;Prefeitura Municipal;Consignet;Ativo;2025-04-09;1930-04-09
CON-1440;PR;Sertanópolis;Prefeitura Municipal;Consignet;Ativo;2025-03-19;1930-03-19
CON-1439;MT;Comodoro Previ;Instituto de Previdência;Digital Consig;Ativo;2025-04-04;1930-04-04
CON-1438;CE;Madalena;Prefeitura Municipal;Digital Consig;Ativo;2025-03-12;1930-03-12
CON-1437;PA;Marituba;Prefeitura Municipal;NeoConsig;Ativo;2025-03-25;2026-03-25
CON-1436;MT;Santa Rita do Trivelato;Prefeitura Municipal;Digital Consig;Ativo;2025-03-18;1935-03-18
CON-1435;SP;Itapetininga;Prefeitura Municipal;Consignet;Ativo;2025-03-25;1930-03-25
CON-1434;MS;MUNICIPIO DE BRASILANDIA;Prefeitura Municipal;Consignet;Ativo;2025-03-12;1930-03-12
CON-1433;ES;João Neiva;Prefeitura Municipal;Fasitec;Ativo;2025-04-03;1930-04-03
CON-1432;PE;MUNICIPIO DE SALGUEIRO;Prefeitura Municipal;Consignet;Ativo;2025-03-31;1930-03-30
CON-1431;RS;Entre-Ijuís;Prefeitura Municipal;Consignet;Ativo;2025-04-03;1930-04-03
CON-1430;MG;MONTES CLAROS . MG;Prefeitura Municipal;Quantum;Ativo;2025-03-31;1930-03-29
CON-1429;SC;IPRERIO - INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS MUNICIPAIS DE RIO NEGRINHO;Instituto de Previdência;Consignet;Ativo;2025-03-31;1930-03-30
CON-1428;PA;Paragominas;Prefeitura Municipal;BRTEC;Ativo;2025-04-02;1930-04-02
CON-1427;RS;Araricá;Prefeitura Municipal;ASBAN;Ativo;2025-04-01;1930-04-01
CON-1426;PR;INSTITUTO DE SEGURIDADE SOCIAL DO MUNICIPIO DE  LOBATO - LOBATOPREV;Instituto de Previdência;Consignet;Ativo;2025-04-04;1930-04-04
CON-1425;RS;Arambaré;Prefeitura Municipal;Consignet;Ativo;2025-03-19;1930-03-19
CON-1424;RN;Coronel Ezequiel;Prefeitura Municipal;Consignet;Ativo;2025-03-17;1930-03-17
CON-1423;PR;São Pedro do Paraná;Prefeitura Municipal;Consignet;Ativo;2025-04-08;1930-04-08
CON-1422;MT;ARIPUANÃ;Câmara Municipal;Digital Consig;Ativo;2025-03-26;1930-03-26
CON-1421;PI;JOAQUIM PIRES;Prefeitura Municipal;Digital Consig;Ativo;2025-02-26;1930-02-26
CON-1420;MT;CAMARA MUNICIPAL DE CONFRESA;Câmara Municipal;Digital Consig;Ativo;2025-03-17;1930-03-15
CON-1419;RO;São Felipe D'Oeste;Prefeitura Municipal;Consignet;Inativo;2025-02-24;2025-03-24
CON-1418;PE;SAAE . SERVIÇO AUTÔNOMO DE  ÁGUA E ESGOTO DO MUNICÍPIO DA ÁGUA PRETA . PE;Autarquia;Fácil;Ativo;2025-03-24;1930-03-24
CON-1417;PA;Novo Progresso;Câmara Municipal;Digital Consig;Ativo;2025-03-14;1930-03-14
CON-1416;RJ;Resende;Instituto de Previdência;Fácil;Ativo;2025-03-14;2025-09-14
CON-1415;RS;Mostardas;Prefeitura Municipal;Consignet;Ativo;2025-03-21;1930-03-21
CON-1414;RS;Novo Cabrais;Prefeitura Municipal;Consignet;Ativo;2025-03-21;1930-03-21
CON-1413;GO;São Luiz do Norte;Prefeitura Municipal;Digital Consig;Ativo;2025-03-19;1930-03-19
CON-1412;RS;Barracao;Prefeitura Municipal;Consignet;Ativo;2025-03-19;1930-03-19
CON-1411;RS;São Domingos do Sul;Prefeitura Municipal;Consignet;Ativo;2025-03-14;1930-03-14
CON-1410;BA;Jacobina;Prefeitura Municipal;Fasitec;Ativo;2025-03-13;2028-12-31
CON-1409;RN;Previdência Municipal de Lajes;Instituto de Previdência;SP Consig;Ativo;2023-11-16;2028-11-16
CON-1408;SP;Vinhedo;Prefeitura Municipal;ConsigLog;Ativo;2025-03-13;2029-03-13
CON-1407;MG;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES PÚBLICOS  DE PIRAPORA (IPSEMP;Instituto de Previdência;Consignet;Ativo;2025-03-10;1930-03-10
CON-1406;RS;Taquari;Prefeitura Municipal;Consignet;Ativo;2025-03-14;2026-03-14
CON-1405;RS;Santa Bárbara do Sul;Prefeitura Municipal;Consignet;Ativo;2025-03-24;2026-03-24
CON-1404;SP;Guarujá;Prefeitura Municipal;ConsigLog;Ativo;2025-03-14;2026-03-14
CON-1403;RS;Cândido Godói;Prefeitura Municipal;Consignet;Ativo;2025-03-12;1930-03-12
CON-1402;PE;Instituto de Previdência Social do Município Paulista;Instituto de Previdência;Consignet;Inativo;2025-03-12;2025-03-12
CON-1401;PA;Belterra;Prefeitura Municipal;Fácil;Ativo;2025-03-13;1930-03-13
CON-1400;SP;Pereiras;Prefeitura Municipal;Consignet;Ativo;2025-03-10;2026-03-10
CON-1399;AC;Plácido de Castro;Prefeitura Municipal;Consignet;Ativo;2024-12-03;2029-12-03
CON-1398;PR;Fênix;Prefeitura Municipal;Consignet;Ativo;2025-02-18;1930-02-18
CON-1397;AC;Câmara Municipal Feijó;Câmara Municipal;Consignet;Ativo;2025-03-06;1930-03-06
CON-1396;MS;INSTITUTO DE APOSENTADORIA E PENSÕES DOS SERVIDORES MUNICIPAIS DE TERENOS - IAPESEM;Instituto de Previdência;Consignet;Ativo;2025-03-04;1930-03-04
CON-1395;AM;Borba;Prefeitura Municipal;Fasitec;Ativo;2025-01-01;2026-01-01
CON-1394;MG;Euroforte Agrociências LTDA.;Empresa Privada;Total For;Ativo;2025-03-06;1930-02-04
CON-1393;SP;Empresa Municipal de Construções Populares - EMCOP;Empresa Privada;Quantum;Iniciando Renovação;2025-03-06;2025-07-28
CON-1392;SC;Balneário Gaivota;Prefeitura Municipal;Infoconsig;Ativo;2025-03-06;2029-11-01
CON-1391;GO;Luziânia;Câmara Municipal;Fasitec;Ativo;2025-02-25;1930-02-25
CON-1390;PE;Ouricuri;Prefeitura Municipal;Consignet;Ativo;2025-03-20;1930-03-20
CON-1389;MA;Ribamar Fiquene;Prefeitura Municipal;Consignet;Ativo;2025-01-30;1930-01-30
CON-1388;RS;Almirante Tamandaré do Sul;Prefeitura Municipal;ASBAN;Ativo;2025-02-07;1930-02-07
CON-1387;GO;Aparecida do Rio Doce;Prefeitura Municipal;Consignet;Ativo;2025-02-17;1930-02-17
CON-1386;AL;Cacimbinhas;Prefeitura Municipal;Fasitec;Ativo;2025-02-26;1930-02-26
CON-1385;MA;São João do Soter;Prefeitura Municipal;Fácil;Ativo;2025-02-18;1930-02-18
CON-1384;PR;Paranavaí;Prefeitura Municipal;Montreal;Ativo;2025-02-25;2028-10-06
CON-1383;CE;Umirim;Prefeitura Municipal;Fácil;Ativo;2025-02-25;2027-06-01
CON-1382;GO;Fundo de Previdência Municipal dos Servidores de Pires do Rio;Instituto de Previdência;Digital Consig;Ativo;2025-02-25;2027-03-09
CON-1381;RS;Anta Gorda;Prefeitura Municipal;Consignet;Ativo;2025-02-25;2026-10-06
CON-1380;SE;Siriri;Prefeitura Municipal;Gestão Consig;Iniciando Renovação;2025-02-25;2025-07-22
CON-1379;MT;Porto Esperidião;Prefeitura Municipal;Consignet;Ativo;2025-02-19;1930-02-19
CON-1378;PI;Murici dos Portelas;Prefeitura Municipal;NewVersion;Ativo;2025-02-10;1930-02-10
CON-1377;SC;Ministério Público de Santa Catarina - MPSC;Ministério Público;Consignet;Ativo;2023-06-08;2028-06-08
CON-1376;PR;Verê;Prefeitura Municipal;Consignet;Ativo;2025-02-06;1930-02-06
CON-1375;RN;Ipueira;Prefeitura Municipal;Fácil;Ativo;2025-02-07;1930-02-07
CON-1374;CE;Aracati;Prefeitura Municipal;Safe Consig;Ativo;2025-02-20;2026-07-21
CON-1373;MS;INSTITUTO DE PREVIDÊNCIA MARACAJU - PREVMMAR;Instituto de Previdência;Consignet;Ativo;2025-02-20;2029-12-19
CON-1372;GO;Iporá;Prefeitura Municipal;Quantum;Ativo;2025-02-20;1930-03-08
CON-1371;RO;Primavera de Rondônia;Prefeitura Municipal;Consignet;Ativo;2025-02-20;2029-08-22
CON-1370;SP;Itatiba;Prefeitura Municipal;ConsigLog;Iniciando Renovação;2025-02-20;2025-07-21
CON-1369;SP;Mairiporã;Prefeitura Municipal;ConsigLog;Ativo;2025-02-12;1930-02-12
CON-1368;PA;Marabá;Prefeitura Municipal;Fácil;Ativo;2025-01-07;1930-01-07
CON-1367;PE;Vertentes;Prefeitura Municipal;Fácil;Ativo;2025-02-18;1930-02-18
CON-1366;BA;Ministério Público da Bahia - MPBA;Ministério Público;ConsigLog;Ativo;2025-02-14;1930-02-14
CON-1365;BA;Nova Fátima;Prefeitura Municipal;Fasitec;Ativo;2025-02-14;2026-06-09
CON-1364;RN;Guamaré;Prefeitura Municipal;ConsigLog;Ativo;2025-02-07;1930-02-07
CON-1363;CE;Estado do Ceará;Governo de Estado;Safe Consig;Inativo;2024-12-27;2025-01-11
CON-1362;SP;EMURB - Empresa Municipal De Urbanismo de São José do Rio Preto;Autarquia;Quantum;Iniciando Renovação;2020-01-28;2025-06-28
CON-1361;CE;Russas;Prefeitura Municipal;Fácil;Ativo;2025-02-10;1930-02-10
CON-1360;SP;Serviço Autônomo de Água e Esgotos de Jaboticabal;Autarquia;Consignet;Ativo;2025-01-27;1930-01-27
CON-1359;RO;Câmara de Candeias do Jamari;Câmara Municipal;Consignet;Ativo;2025-01-22;1930-01-22
CON-1358;RO;Chupinguaia;Câmara Municipal;Consignet;Ativo;2025-01-20;1930-01-20
CON-1357;RS;MUNICIPIO DE SAO NICOLAU;Prefeitura Municipal;Consignet;Ativo;2025-01-15;1930-01-15
CON-1356;AL;Maragogi;Prefeitura Municipal;Fasitec;Iniciando Renovação;2025-01-17;2025-07-17
CON-1355;GO;Goianésia;Câmara Municipal;Fácil;Ativo;2025-01-17;1930-01-17
CON-1354;RS;Redentora;Prefeitura Municipal;Consignet;Ativo;2025-01-14;2029-01-14
CON-1353;AL;Marechal Deodoro;Prefeitura Municipal;Fasitec;Ativo;2025-01-13;2029-01-13
CON-1352;AL;Santana do Ipanema;Prefeitura Municipal;Fasitec;Ativo;2025-01-10;2029-01-10
CON-1351;RS;ESTEIO;Câmara Municipal;ASBAN;Ativo;2025-01-08;2026-01-10
CON-1350;RS;MUNICIPIO DE CAPITÃO;Prefeitura Municipal;Consignet;Ativo;2025-01-07;1930-01-07
CON-1349;RS;TOROPI;Prefeitura Municipal;Consignet;Ativo;2025-01-10;1930-01-09
CON-1348;PE;INST. PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE GARANHUNS- IPSG;Instituto de Previdência;Fácil;Ativo;2025-01-01;1930-01-01
CON-1347;MT;SALTO DO CÉU;Prefeitura Municipal;Consignet;Ativo;2025-01-06;1930-01-04
CON-1346;GO;Rio Verde (GO);Prefeitura Municipal;NeoConsig;Ativo;2024-12-20;2026-01-06
CON-1345;RS;Unistalda;Prefeitura Municipal;Consignet;Ativo;2024-12-18;2029-12-18
CON-1344;PR;Alegrete;Prefeitura Municipal;Consignet;Ativo;2024-12-09;2029-12-09
CON-1343;RN;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES MUNICIPAIS DE SÃO VICENTE - IPSV;Instituto de Previdência;SP Consig;Ativo;2024-12-12;2029-12-12
CON-1342;PI;Alagoinha do Piaui;Prefeitura Municipal;RF1 Participações;Ativo;2024-12-18;2029-12-18
CON-1341;RS;CRISSIUMAL;Prefeitura Municipal;Consignet;Ativo;2024-12-09;2025-12-09
CON-1340;RN;JOÃO CÂMARA;Prefeitura Municipal;Fácil;Ativo;2024-12-11;2029-12-11
CON-1339;ES;IBITIRAMA;Prefeitura Municipal;Fasitec;Ativo;2024-12-10;2029-12-07
CON-1338;MA;Graça Aranha;Prefeitura Municipal;Fasitec;Ativo;2024-12-09;2029-12-09
CON-1337;RS;Rio dos Índios;Prefeitura Municipal;Consignet;Ativo;2024-12-06;2029-12-06
CON-1336;SC;Presidente Nereu;Prefeitura Municipal;Consignet;Ativo;2024-12-03;2029-12-03
CON-1335;PR;Cacique Doble;Prefeitura Municipal;Consignet;Ativo;2024-12-02;2029-12-02
CON-1334;MT;RIBEIRÃO CASCALHEIRA;Prefeitura Municipal;RF1 Participações;Ativo;2024-11-26;2029-11-23
CON-1333;PE;MUNICIPIO DE FEIRA NOVA;Prefeitura Municipal;Consignet;Ativo;2025-02-18;1930-02-18
CON-1332;PE;PREFEITURA DE VICÊNCIA;Prefeitura Municipal;Fácil;Ativo;2024-12-02;2025-12-02
CON-1331;PE;Floresta;Prefeitura Municipal;Fácil;Ativo;2024-11-08;2029-11-08
CON-1330;PR;PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUN. DE PALMITAL;Instituto de Previdência;Consignet;Ativo;2024-11-28;2025-11-29
CON-1329;SP;Fundação Municipal de Saúde de Rio Claro;Autarquia;Consignet;Ativo;2024-11-13;2029-11-13
CON-1328;RN;Caicó;Prefeitura Municipal;Fácil;Ativo;2024-11-24;2025-11-24
CON-1327;PR;FUNDO DE PREVIDENCIA DO MUNICIPIO DE PLANALTO;Instituto de Previdência;Consignet;Ativo;2024-11-27;2029-11-27
CON-1326;RN;Pilões;Prefeitura Municipal;SP Consig;Ativo;2024-11-21;2028-11-21
CON-1325;SP;Serviço de Assistência à Saúde dos Municipiários de Ribeirão Preto - SASSOM;Autarquia;Unitedtech;Ativo;2024-11-21;2029-11-21
CON-1324;MA;Balsas;Prefeitura Municipal;Safe Consig;Ativo;2024-11-25;2025-11-25
CON-1322;BA;Ilhéus;Prefeitura Municipal;ConsigLog;Ativo;2024-11-13;2025-11-13
CON-1321;SC;MUNICIPIO DE CAMPOS NOVOS;Prefeitura Municipal;Montreal;Ativo;2024-10-24;2029-10-24
CON-1320;RN;Vera Cruz;Prefeitura Municipal;SP Consig;Ativo;2024-11-13;2029-11-12
CON-1319;PR;CAMARA MUNICIPAL DE FOZ DO JORDAO;Câmara Municipal;Consignet;Ativo;2024-11-11;2029-11-09
CON-1318;SP;Jaboticabal;Prefeitura Municipal;Consignet;Ativo;2024-11-14;2029-11-14
CON-1317;RS;São José do Inhacorá;Prefeitura Municipal;ASBAN;Ativo;2024-10-30;2029-10-30
CON-1316;PB;Pombal;Prefeitura Municipal;SP Consig;Ativo;2024-10-25;2028-10-25
CON-1315;AL;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS DE BRANQUINHA;Instituto de Previdência;Fasitec;Ativo;2024-11-12;2029-11-12
CON-1314;SP;Tietê;Prefeitura Municipal;Montreal;Inativo;2024-06-16;2024-11-17
CON-1313;GO;Turvelândia;Prefeitura Municipal;Consignet;Ativo;2025-01-07;1930-01-04
CON-1312;RS;Eunápolis;Prefeitura Municipal;Unitedtech;Ativo;2024-11-08;2029-11-08
CON-1311;SP;Santa Fé do Sul;Prefeitura Municipal;Consignet;Ativo;2024-09-25;2029-09-25
CON-1310;PR;Foz do Jordão;Prefeitura Municipal;Consignet;Ativo;2024-10-23;2029-10-23
CON-1309;RO;Instituto de Previdência Ariquemes;Instituto de Previdência;Consignet;Ativo;2024-11-04;2029-11-04
CON-1308;RO;Instituto de Previdência Alvorada do Oeste;Instituto de Previdência;Consignet;Ativo;2024-11-13;2029-11-13
CON-1307;RO;Vale do Anari;Câmara Municipal;Consignet;Ativo;2024-08-14;2029-08-14
CON-1306;AL;Instituto de Previdência Mar Vermelho - IMPREV;Instituto de Previdência;Fasitec;Ativo;2024-10-25;2029-10-25
CON-1305;AM;São Gabriel da Cachoeira;Prefeitura Municipal;ConsigLog;Ativo;2024-10-24;2029-10-24
CON-1304;SP;URBAM - São José dos Campos (SP);Outros;Montreal;Ativo;2024-09-19;2029-09-19
CON-1303;PR;Reserva do Iguaçu;Prefeitura Municipal;Consignet;Ativo;2024-11-25;2029-11-25
CON-1302;SP;Franca;Prefeitura Municipal;Consignet;Ativo;2024-09-24;2029-09-24
CON-1301;PA;Novo Progresso;Prefeitura Municipal;Digital Consig;Inativo;2024-10-11;2024-11-28
CON-1300;RS;Dilermando de Aguiar;Prefeitura Municipal;Consignet;Ativo;2024-12-16;2029-12-16
CON-1299;SP;SERVIÇO AUTONOMO DE ÁGUA, ESGOTO E MEIO AMBIENTE DE SERTÃOZINHO - SAEMAS;Autarquia;Consignet;Ativo;2024-10-08;2029-10-08
CON-1298;SP;Ad'oro SA;Empresa Privada;Consignet;Ativo;2024-10-09;2027-10-20
CON-1297;RN;FUNDAÇÃO DE EDUCAÇÃO, TURISMO, ESPORTE E CULTURA DE BOA VISTA;Autarquia;RF1 Participações;Ativo;2024-10-04;2029-10-04
CON-1296;PE;Igarassu;Prefeitura Municipal;Consignet;Ativo;2024-09-03;2029-09-03
CON-1295;CE;Fortaleza;Prefeitura Municipal;Safe Consig;Ativo;2024-09-23;2029-09-23
CON-1294;MT;INSTITUTO MUNICIPAL DE PREVIDÊNCIA SOCIAL DOS SERVIDORES DE LUCAS DO RIO VERDE;Instituto de Previdência;Consignet;Ativo;2024-09-30;2029-09-30
CON-1293;MT;Instituto Municipal de Previdência Social dos Servidores de Lucas do Rio Verde;Instituto de Previdência;Consignet;Inativo;2024-09-30;2029-09-30
CON-1292;RO;Rio Crespo;Prefeitura Municipal;Consignet;Ativo;2024-10-02;2029-09-02
CON-1291;PR;Maringá;Câmara Municipal;Consignet;Ativo;2024-09-25;2026-01-28
CON-1290;MG;Itaú de Minas;Prefeitura Municipal;Consignet;Inativo;2024-09-25;2024-11-20
CON-1289;SP;INSTITUTO DE PREVIDÊNCIA MUNICIPAL DE SÃO MANUEL;Instituto de Previdência;Consignet;Ativo;2024-09-16;2029-09-16
CON-1288;RS;Dona Francisca;Prefeitura Municipal;Consignet;Ativo;2024-09-23;2029-09-23
CON-1287;BA;Barra do Mendes;Prefeitura Municipal;Fasitec;Ativo;2024-09-24;2028-05-16
CON-1286;PR;SOPREMU - SOCIEDADE PREVIDENCIARIA MUNICIPAL DE LOANDA;Instituto de Previdência;Consignet;Ativo;2024-09-23;2029-09-23
CON-1285;AC;Tarauacá;Prefeitura Municipal;Consignet;Ativo;2024-09-04;2029-09-04
CON-1284;SC;INSTITUTO DE PREVIDÊNCIA SOCIAL DOS SERVIDORES PÚBLICOS DO MUNICÍPIO DE BALNEÁRIO CAMBORIÚ - BCPREVI;Instituto de Previdência;Consignet;Ativo;2024-09-12;2029-09-12
CON-1283;RN;Instituto Municipal de Previdência Social dos Servidores de Mossoró - IGEPREV;Instituto de Previdência;Fácil;Ativo;2024-09-23;2025-09-23
CON-1282;PA;Ponta de Pedras;Prefeitura Municipal;RF1 Participações;Ativo;2024-09-10;2029-09-10
CON-1281;PE;Catende;Prefeitura Municipal;Fácil;Ativo;2024-09-20;2029-09-20
